1, 27330, Tempo, 555556
1, 27334, Tempo, 560748
1, 27338, Tempo, 566038
1, 27341, Tempo, 571429
1, 27345, Tempo, 576923
1, 27349, Tempo, 582524
1, 27352, Tempo, 588235
1, 27356, Tempo, 594059
1, 27360, Tempo, 600000
1, 28416, Time_signature, 4, 2, 24, 8
1, 28416, Marker_t, "2mov"
1, 28512, Tempo, 833333
1, 58544, Tempo, 845070
1, 58577, Tempo, 857143
1, 58610, Tempo, 869565
1, 58642, Tempo, 882353
1, 58675, Tempo, 895522
1, 58708, Tempo, 909091
1, 58741, Tempo, 923077
1, 58773, Tempo, 937500
1, 58806, Tempo, 952381
1, 58839, Tempo, 967742
1, 58871, Tempo, 983607
1, 58904, Tempo, 1000000
1, 58937, Tempo, 1016949
1, 58970, Tempo, 1034483
1, 59002, Tempo, 1052632
1, 59035, Tempo, 1071429
1, 59068, Tempo, 1090909
1, 59101, Tempo, 1111111
1, 59133, Tempo, 1132075
1, 59166, Tempo, 1153846
1, 59199, Tempo, 1176471
1, 59232, Tempo, 1200000
1, 59904, Time_signature, 3, 2, 24, 8
1, 59904, Marker_t, "3mov"
1, 60000, Tempo, 357143
1, 60096, Tempo, 535714
1, 69216, Tempo, 357143
1, 69312, Tempo, 535714
1, 78432, Tempo, 357143
1, 78528, Tempo, 535714
1, 89952, Tempo, 357143
1, 90048, Tempo, 535714
1, 100441, Tempo, 540541
1, 100466, Tempo, 545455
1, 100491, Tempo, 550459
1, 100516, Tempo, 555556
1, 100541, Tempo, 560748
1, 100566, Tempo, 566038
1, 100591, Tempo, 571429
1, 100617, Tempo, 576923
1, 100642, Tempo, 582524
1, 100667, Tempo, 588235
1, 100692, Tempo, 594059
1, 100717, Tempo, 600000
1, 100742, Tempo, 606061
1, 100767, Tempo, 612245
1, 100793, Tempo, 618557
1, 100818, Tempo, 625000
1, 100843, Tempo, 631579
1, 100868, Tempo, 638298
1, 100893, Tempo, 645161
1, 100918, Tempo, 652174
1, 100943, Tempo, 659341
1, 100969, Tempo, 666667
1, 100994, Tempo, 674157
1, 101019, Tempo, 681818
1, 101044, Tempo, 689655
1, 101069, Tempo, 697674
1, 101094, Tempo, 705882
1, 101119, Tempo, 714286
1, 101145, Tempo, 722892
1, 101170, Tempo, 731707
1, 101195, Tempo, 740741
1, 101220, Tempo, 750000
1, 101245, Tempo, 759494
1, 101270, Tempo, 769231
1, 101295, Tempo, 779221
1, 101321, Tempo, 789474
1, 101346, Tempo, 800000
1, 101371, Tempo, 810811
1, 101396, Tempo, 821918
1, 101421, Tempo, 833333
1, 101446, Tempo, 845070
1, 101472, Tempo, 857143
1, 101848, Marker_t, "4mov"
1, 101856, Tempo, 909091
1, 128950, Tempo, 923077
1, 128972, Tempo, 937500
1, 128994, Tempo, 952381
1, 129016, Tempo, 967742
1, 129038, Tempo, 983607
1, 129060, Tempo, 1000000
1, 129083, Tempo, 1016949
1, 129105, Tempo, 1034483
1, 129127, Tempo, 1052632
1, 129149, Tempo, 1071429
1, 129171, Tempo, 1090909
1, 129193, Tempo, 1111111
1, 129216, Tempo, 1132075
1, 129238, Tempo, 1153846
1, 129260, Tempo, 1176471
1, 129282, Tempo, 1200000
1, 129304, Tempo, 1224490
1, 129326, Tempo, 1250000
1, 129348, Tempo, 1276596
1, 129371, Tempo, 1304348
1, 129393, Tempo, 1333333
1, 129415, Tempo, 1363636
1, 129437, Tempo, 1395349
1, 129459, Tempo, 1428571
1, 129481, Tempo, 1463415
1, 129504, Tempo, 1500000
1, 129600, Time_signature, 2, 1, 48, 8
1, 129832, Marker_t, "5mov"
1, 129888, Tempo, 394737
1, 162542, Tempo, 397351
1, 162557, Tempo, 400000
1, 162572, Tempo, 402685
1, 162587, Tempo, 405405
1, 162601, Tempo, 408163
1, 162616, Tempo, 410959
1, 162631, Tempo, 413793
1, 162646, Tempo, 416667
1, 162660, Tempo, 419580
1, 162675, Tempo, 422535
1, 162690, Tempo, 425532
1, 162705, Tempo, 428571
1, 162720, Tempo, 431655
1, 162734, Tempo, 434783
1, 162749, Tempo, 437956
1, 162764, Tempo, 441176
1, 162779, Tempo, 444444
1, 162793, Tempo, 447761
1, 162808, Tempo, 451128
1, 162823, Tempo, 454545
1, 162838, Tempo, 458015
1, 162852, Tempo, 461538
1, 162867, Tempo, 465116
1, 162882, Tempo, 468750
1, 162897, Tempo, 472441
1, 162912, Tempo, 476190
1, 162926, Tempo, 480000
1, 162941, Tempo, 483871
1, 162956, Tempo, 487805
1, 162971, Tempo, 491803
1, 162985, Tempo, 495868
1, 163000, Tempo, 500000
1, 163015, Tempo, 504202
1, 163030, Tempo, 508475
1, 163044, Tempo, 512821
1, 163059, Tempo, 517241
1, 163074, Tempo, 521739
1, 163089, Tempo, 526316
1, 163104, Tempo, 530973
1, 163118, Tempo, 535714
1, 163133, Tempo, 540541
1, 163148, Tempo, 545455
1, 163163, Tempo, 550459
1, 163177, Tempo, 555556
1, 163192, Tempo, 560748
1, 163207, Tempo, 566038
1, 163222, Tempo, 571429
1, 163236, Tempo, 576923
1, 163251, Tempo, 582524
1, 163266, Tempo, 588235
1, 163281, Tempo, 594059
1, 163296, Tempo, 600000
1, 164064, Tempo, 394737
1, 264298, Tempo, 397351
1, 264309, Tempo, 400000
1, 264320, Tempo, 402685
1, 264330, Tempo, 405405
1, 264341, Tempo, 408163
1, 264352, Tempo, 410959
1, 264362, Tempo, 413793
1, 264373, Tempo, 416667
1, 264384, Tempo, 419580
1, 264394, Tempo, 422535
1, 264405, Tempo, 425532
1, 264416, Tempo, 428571
1, 264426, Tempo, 431655
1, 264437, Tempo, 434783
1, 264448, Tempo, 437956
1, 264458, Tempo, 441176
1, 264469, Tempo, 444444
1, 264480, Tempo, 447761
1, 264490, Tempo, 451128
1, 264501, Tempo, 454545
1, 264512, Tempo, 458015
1, 264522, Tempo, 461538
1, 264533, Tempo, 465116
1, 264544, Tempo, 468750
1, 264554, Tempo, 472441
1, 264565, Tempo, 476190
1, 264576, Tempo, 480000
1, 264586, Tempo, 483871
1, 264597, Tempo, 487805
1, 264608, Tempo, 491803
1, 264618, Tempo, 495868
1, 264629, Tempo, 500000
1, 264640, Tempo, 504202
1, 264650, Tempo, 508475
1, 264661, Tempo, 512821
1, 264672, Tempo, 517241
1, 264682, Tempo, 521739
1, 264693, Tempo, 526316
1, 264704, Tempo, 530973
1, 264714, Tempo, 535714
1, 264725, Tempo, 540541
1, 264736, Tempo, 545455
1, 264746, Tempo, 550459
1, 264757, Tempo, 555556
1, 264768, Tempo, 560748
1, 264778, Tempo, 566038
1, 264789, Tempo, 571429
1, 264800, Tempo, 576923
1, 264810, Tempo, 582524
1, 264821, Tempo, 588235
1, 264832, Tempo, 594059
1, 264842, Tempo, 600000
1, 264853, Tempo, 606061
1, 264864, Tempo, 612245
1, 264874, Tempo, 618557
1, 264885, Tempo, 625000
1, 264896, Tempo, 631579
1, 264906, Tempo, 638298
1, 264917, Tempo, 645161
