1, 307155, Tempo, 521739
1, 311517, Tempo, 555556
1, 311520, Tempo, 697674
1, 311522, Tempo, 714286
1, 311524, Tempo, 895522
1, 311536, Tempo, 909091
1, 311582, Tempo, 869565
1, 311750, Tempo, 882353
1, 311760, Marker_t, "Erste Ausfuehrung"
1, 311762, Tempo, 535714
1, 311764, Tempo, 555556
1, 337440, Tempo, 545455
1, 382567, Tempo, 555556
1, 382600, Tempo, 560748
1, 382612, Tempo, 576923
1, 382629, Tempo, 582524
1, 382644, Tempo, 588235
1, 382658, Tempo, 594059
1, 382675, Tempo, 600000
1, 382689, Tempo, 606061
1, 382704, Tempo, 612245
1, 382718, Tempo, 618557
1, 382735, Tempo, 625000
1, 382749, Tempo, 631579
1, 382764, Tempo, 638298
1, 382778, Tempo, 645161
1, 382795, Tempo, 652174
1, 382809, Tempo, 659341
1, 382824, Tempo, 666667
1, 382838, Tempo, 674157
1, 382855, Tempo, 681818
1, 382869, Tempo, 689655
1, 382884, Tempo, 697674
1, 382900, Tempo, 705882
1, 382915, Tempo, 714286
1, 382929, Tempo, 722892
1, 382944, Tempo, 731707
1, 382960, Tempo, 740741
1, 382975, Tempo, 750000
1, 382989, Tempo, 759494
1, 383004, Tempo, 769231
1, 383020, Tempo, 779221
1, 383035, Tempo, 789474
1, 383049, Tempo, 800000
1, 383064, Tempo, 810811
1, 383066, Tempo, 759494
1, 383068, Tempo, 769231
1, 383071, Tempo, 779221
1, 383073, Tempo, 789474
1, 383076, Tempo, 800000
1, 383078, Tempo, 810811
1, 383080, Tempo, 833333
1, 383083, Tempo, 845070
1, 383085, Tempo, 857143
1, 383088, Tempo, 869565
1, 383090, Tempo, 882353
1, 383092, Tempo, 895522
1, 383095, Tempo, 909091
1, 383097, Tempo, 937500
1, 383100, Tempo, 937500
1, 383114, Tempo, 952381
1, 383128, Tempo, 967742
1, 383131, Tempo, 1250000
1, 383133, Tempo, 967742
1, 383148, Tempo, 1500000
1, 383150, Tempo, 1538462
1, 383152, Tempo, 1578947
1, 383155, Tempo, 1621622
1, 383157, Tempo, 1714286
1, 383160, Tempo, 1764706
1, 383162, Tempo, 1818182
1, 383164, Tempo, 1875000
1, 383167, Tempo, 1935484
1, 383169, Tempo, 2000000
1, 383172, Tempo, 2142857
1, 383200, Tempo, 1935484
1, 383203, Tempo, 1875000
1, 383205, Tempo, 1764706
1, 383208, Tempo, 1714286
1, 383210, Tempo, 1621622
1, 383212, Tempo, 1578947
1, 383215, Tempo, 1500000
1, 383217, Tempo, 1428571
1, 383220, Tempo, 1621622
1, 383224, Tempo, 1578947
1, 383227, Tempo, 1538462
1, 383232, Tempo, 1500000
1, 383234, Tempo, 1463415
1, 383239, Tempo, 1428571
1, 383241, Tempo, 1395349
1, 383246, Tempo, 1363636
1, 383248, Tempo, 1333333
1, 383253, Tempo, 1304348
1, 383256, Tempo, 1276596
1, 383260, Tempo, 1250000
1, 383263, Tempo, 1224490
1, 383265, Tempo, 1200000
1, 383270, Tempo, 1176471
1, 383272, Tempo, 1153846
1, 383277, Tempo, 1132075
1, 383280, Tempo, 1111111
1, 383284, Tempo, 1090909
1, 383287, Tempo, 1071429
1, 383292, Tempo, 1052632
1, 383294, Tempo, 1034483
1, 383299, Tempo, 1016949
1, 383301, Tempo, 1000000
1, 383306, Tempo, 983607
1, 383308, Tempo, 967742
1, 383313, Tempo, 952381
1, 383316, Tempo, 937500
1, 383318, Tempo, 923077
1, 383323, Tempo, 909091
1, 383325, Tempo, 895522
1, 383330, Tempo, 882353
1, 383332, Tempo, 869565
1, 383337, Tempo, 857143
1, 383340, Tempo, 845070
1, 383344, Tempo, 833333
1, 383347, Tempo, 821918
1, 383352, Tempo, 810811
1, 383354, Tempo, 800000
1, 383359, Tempo, 789474
1, 383361, Tempo, 779221
1, 383366, Tempo, 769231
1, 383368, Tempo, 759494
1, 383371, Tempo, 750000
1, 383402, Tempo, 722892
1, 383409, Tempo, 521739
1, 383520, Marker_t, "CONTRAPUNCTUS 9 a 4 alla Duodecima"
1, 444960, Tempo, 530973
1, 444962, Tempo, 535714
1, 444974, Tempo, 540541
1, 444986, Tempo, 545455
1, 444998, Tempo, 550459
1, 445010, Tempo, 555556
1, 445022, Tempo, 560748
1, 445034, Tempo, 566038
1, 445046, Tempo, 571429
1, 445058, Tempo, 576923
1, 445070, Tempo, 582524
1, 445082, Tempo, 588235
1, 445094, Tempo, 594059
1, 445106, Tempo, 600000
1, 445118, Tempo, 606061
1, 445130, Tempo, 612245
1, 445142, Tempo, 618557
1, 445154, Tempo, 625000
1, 445166, Tempo, 631579
1, 445176, Tempo, 705882
1, 445180, Tempo, 631579
1, 445190, Tempo, 638298
1, 445200, Tempo, 645161
1, 445209, Tempo, 652174
1, 445219, Tempo, 659341
1, 445226, Tempo, 666667
1, 445236, Tempo, 674157
1, 445245, Tempo, 681818
1, 445255, Tempo, 689655
1, 445264, Tempo, 697674
1, 445272, Tempo, 705882
1, 445281, Tempo, 714286
1, 445291, Tempo, 722892
1, 445300, Tempo, 731707
1, 445310, Tempo, 740741
1, 445317, Tempo, 750000
1, 445332, Tempo, 769231
1, 445353, Tempo, 779221
1, 445375, Tempo, 789474
1, 445396, Tempo, 800000
1, 445418, Tempo, 810811
1, 445440, Tempo, 821918
1, 445464, Tempo, 833333
1, 445485, Tempo, 845070
1, 445507, Tempo, 857143
1, 445528, Tempo, 869565
1, 445550, Tempo, 882353
1, 445572, Tempo, 895522
1, 445596, Tempo, 909091
1, 445617, Tempo, 923077
1, 445639, Tempo, 937500
1, 445660, Tempo, 952381
1, 445682, Tempo, 967742
1, 445704, Tempo, 983607
1, 445728, Tempo, 1000000
1, 445749, Tempo, 1016949
1, 445771, Tempo, 1034483
1, 445792, Tempo, 1052632
1, 445814, Tempo, 1071429
1, 445836, Tempo, 1090909
1, 445924, Tempo, 500000
1, 445925, Marker_t, "CONTRAPUNCTUS 10 a 4 alla Decima"
1, 502572, Tempo, 517241
1, 502586, Tempo, 521739
1, 502598, Tempo, 526316
1, 502610, Tempo, 530973
1, 502622, Tempo, 535714
1, 502636, Tempo, 540541
1, 502648, Tempo, 545455
1, 502660, Tempo, 550459
1, 502672, Tempo, 555556
1, 502684, Tempo, 560748
1, 502699, Tempo, 566038
1, 502711, Tempo, 571429
1, 502723, Tempo, 576923
1, 502735, Tempo, 582524
1, 502749, Tempo, 588235
1, 502761, Tempo, 594059
1, 502773, Tempo, 600000
1, 502785, Tempo, 606061
1, 502797, Tempo, 612245
1, 502812, Tempo, 618557
1, 502824, Tempo, 625000
1, 502836, Tempo, 631579
1, 502848, Tempo, 638298
1, 502860, Tempo, 645161
1, 502874, Tempo, 652174
1, 502886, Tempo, 659341
1, 502898, Tempo, 666667
1, 502910, Tempo, 674157
1, 502924, Tempo, 681818
1, 502936, Tempo, 689655
1, 502948, Tempo, 697674
1, 502960, Tempo, 705882
1, 502972, Tempo, 714286
1, 502987, Tempo, 722892
1, 502999, Tempo, 731707
1, 503011, Tempo, 740741
1, 503023, Tempo, 750000
1, 503035, Tempo, 759494
1, 503052, Tempo, 895522
1, 503061, Tempo, 909091
1, 503068, Tempo, 923077
1, 503078, Tempo, 937500
1, 503085, Tempo, 952381
1, 503095, Tempo, 967742
1, 503102, Tempo, 983607
1, 503112, Tempo, 1000000
1, 503119, Tempo, 1016949
1, 503128, Tempo, 1034483
1, 503136, Tempo, 1052632
1, 503143, Tempo, 1071429
1, 503152, Tempo, 1090909
1, 503160, Tempo, 1111111
1, 503169, Tempo, 1132075
1, 503176, Tempo, 1153846
1, 503186, Tempo, 1176471
1, 503193, Tempo, 1200000
1, 503203, Tempo, 1224490
1, 503210, Tempo, 1250000
1, 503217, Tempo, 1276596
1, 503227, Tempo, 1304348
1, 503234, Tempo, 1333333
1, 503244, Tempo, 1363636
1, 503251, Tempo, 1395349
1, 503260, Tempo, 1428571
1, 503268, Tempo, 1463415
1, 503277, Tempo, 1500000
1, 503284, Tempo, 1538462
1, 503292, Tempo, 1578947
1, 503299, Tempo, 833333
1, 503304, Tempo, 566038
1, 503316, Tempo, 512821
1, 503335, Tempo, 508475
1, 503352, Tempo, 504202
1, 503520, Marker_t, "CONTRAPUNCTUS 11 a 4 "
1, 503522, Tempo, 540541
1, 533580, Tempo, 545455
1, 590877, Tempo, 560748
1, 590884, Tempo, 566038
1, 590889, Tempo, 571429
1, 590894, Tempo, 576923
1, 590899, Tempo, 582524
1, 590904, Tempo, 588235
1, 590908, Tempo, 594059
1, 590913, Tempo, 600000
1, 590918, Tempo, 606061
1, 590923, Tempo, 612245
1, 590928, Tempo, 618557
1, 590932, Tempo, 625000
1, 590937, Tempo, 631579
1, 590942, Tempo, 638298
1, 590947, Tempo, 645161
1, 590952, Tempo, 652174
1, 590956, Tempo, 659341
1, 590961, Tempo, 666667
1, 590966, Tempo, 674157
1, 590971, Tempo, 681818
1, 590978, Tempo, 689655
1, 590983, Tempo, 697674
1, 590988, Tempo, 705882
1, 590992, Tempo, 714286
1, 590997, Tempo, 722892
1, 591002, Tempo, 731707
1, 591007, Tempo, 740741
1, 591012, Tempo, 750000
1, 591016, Tempo, 759494
1, 591021, Tempo, 769231
1, 591026, Tempo, 779221
1, 591031, Tempo, 789474
1, 591036, Tempo, 800000
1, 591040, Tempo, 810811
1, 591045, Tempo, 821918
1, 591050, Tempo, 833333
1, 591055, Tempo, 845070
1, 591060, Tempo, 857143
1, 591064, Tempo, 869565
1, 591069, Tempo, 882353
1, 591076, Tempo, 895522
1, 591081, Tempo, 909091
1, 591086, Tempo, 923077
1, 591091, Tempo, 937500
1, 591096, Tempo, 952381
1, 591100, Tempo, 967742
1, 591105, Tempo, 983607
1, 591110, Tempo, 1000000
1, 591115, Tempo, 1016949
1, 591120, Tempo, 1034483
1, 591124, Tempo, 1052632
1, 591129, Tempo, 1071429
1, 591134, Tempo, 1090909
1, 591139, Tempo, 1111111
1, 591144, Tempo, 1132075
1, 591148, Tempo, 1153846
1, 591153, Tempo, 1176471
1, 591158, Tempo, 1200000
1, 591163, Tempo, 1224490
1, 591168, Tempo, 1250000
1, 591352, Tempo, 1153846
1, 591588, Tempo, 1176471
1, 591820, Tempo, 1200000
1, 591837, Tempo, 550459
1, 592320, Time_signature, 3, 1, 48, 8
1, 592320, Marker_t, "CONTRAPUNCUS 12  a 4 Rectus"
